image_id,image_name,image_height,image_width,outer_cate,outer_len
1016704,1107-14428-14428 (2-1)-20200129-1 (2188).JPG,800,800,짚업,긴팔
1016705,1107-14428-14428 (2-1)-20200129-1 (2189).JPG,800,800,짚업,긴팔
1016706,1107-14428-14428 (2-1)-20200129-1 (2190).JPG,800,800,짚업,긴팔
367088,158089482137760600_1359568660.jpg,1066,800,재킷,긴팔
367093,158089482366643300_686358314.jpg,1066,800,재킷,긴팔
367094,158089482396612400_1412821449.jpg,1066,800,재킷,긴팔
367095,158089482422121700_83670800.jpg,1066,800,재킷,긴팔
367105,158089512738906700_186811576.jpg,1066,800,재킷,긴팔
367106,158089512842194700_1768238238.jpg,1066,800,재킷,긴팔
367107,158089512862620699_1102897265.jpg,1066,800,재킷,긴팔
367108,158089512886643200_491855816.jpg,1066,800,재킷,긴팔
367110,158089512945120900_1772253697.jpg,1066,800,재킷,긴팔
367111,158089512967333600_1379395741.jpg,1066,800,재킷,긴팔
367114,158089513092178100_992167939.jpg,1066,800,재킷,긴팔
367115,158089513114375600_1792592719.jpg,1066,800,재킷,긴팔
367116,158089513142504500_1866909173.jpg,1066,800,재킷,긴팔
367145,158097432840393200_1523969393.jpg,1066,800,재킷,긴팔
367149,158097432913907100_9894816.jpg,1066,800,재킷,긴팔
367151,158097433043242200_1335797369.jpg,1066,800,재킷,긴팔
367152,158097433063210400_1679879033.jpg,1066,800,재킷,긴팔
367153,158097433089173400_1449226650.jpg,1066,800,재킷,긴팔
367154,158097467146361600_1198384629.jpg,1066,800,재킷,긴팔
367155,158097467168294600_1122046013.jpg,1066,800,재킷,긴팔
367156,158097467191132200_539796243.jpg,1066,800,재킷,긴팔
367160,158097467296531100_2034689601.jpg,1066,800,재킷,긴팔
367162,158097467332598400_590978495.jpg,1066,800,재킷,긴팔
367165,158097467397053000_1083675695.jpg,1066,800,재킷,긴팔
367166,158097467491654100_1964140457.jpg,1066,800,재킷,긴팔
367167,158097467515100300_2071198931.jpg,1066,800,재킷,긴팔
367168,158097467539353700_235643371.jpg,1066,800,재킷,긴팔
367169,158097481351930299_1110275082.jpg,1066,800,재킷,긴팔
367172,158097481520832700_2115333020.jpg,1066,800,재킷,긴팔
367173,158097481540789900_1119609695.jpg,1066,800,재킷,긴팔
367175,158097481656587600_687010798.jpg,1066,800,재킷,긴팔
367176,158097481674567700_1745622016.jpg,1066,800,재킷,긴팔
367177,158097481692215800_1946335561.jpg,1066,800,재킷,긴팔
367938,158433663845779800_1543015083.jpg,1066,800,재킷,긴팔
367941,158433663923929700_1084565733.jpg,1066,800,재킷,긴팔
367945,158433664040446100_1157784580.jpg,1066,800,재킷,긴팔
367946,158433664066500700_1453198832.jpg,1066,800,재킷,긴팔
367947,158433664155276099_861761945.jpg,1066,800,재킷,긴팔
367948,158433664177576300_1737699001.jpg,1066,800,재킷,긴팔
370362,159849774627592800_1362565215.jpg,1066,800,가디건,긴팔
370363,159849774662961700_1971783650.jpg,1066,800,가디건,긴팔
370364,159849774698327700_2143330225.jpg,1066,800,가디건,긴팔
370367,159849775037267700_1664336327.jpg,1066,800,가디건,긴팔
370368,159849775071078400_915231443.jpg,1066,800,가디건,긴팔
607303,160265375761180400_1810242153.jpg,1066,800,재킷,긴팔
607304,160265375817718200_1841875054.jpg,1066,800,재킷,긴팔
607792,160274403949686200_620188663.jpg,1066,800,코트,긴팔
607794,160274404129810900_2136528421.jpg,1066,800,코트,긴팔
607795,160274404189534400_1454279008.jpg,1066,800,코트,긴팔
607797,160274404374021500_536288340.jpg,1066,800,코트,긴팔
607798,160274404424824700_1903387939.jpg,1066,800,코트,긴팔
607801,160274404596500500_1457645563.jpg,1066,800,코트,긴팔
607803,160274404863727700_855267825.jpg,1066,800,코트,긴팔
607804,160274404920623000_393544387.jpg,1066,800,코트,긴팔
607805,160274404981856900_295100739.jpg,1066,800,코트,긴팔
573356,2017-02-22 in calli 75122.jpg,1066,800,재킷,긴팔
573357,2017-02-22 in calli 75138.jpg,1066,800,재킷,긴팔
573358,2017-02-22 in calli 75146.jpg,1066,800,재킷,긴팔
573359,2017-02-22 in calli 75153.jpg,1066,800,재킷,긴팔
992628,20180228(중국)-샘플-bIMG_0994 (3127).jpg,800,800,재킷,반팔
992634,20180228(중국)-샘플-bIMG_0994 (3133).jpg,800,800,재킷,반팔
992639,20180228(중국)-샘플-bIMG_0994 (3138).jpg,800,800,재킷,반팔
992640,20180228(중국)-샘플-bIMG_0994 (3139).jpg,800,800,재킷,반팔
992641,20180228(중국)-샘플-bIMG_0994 (3140).jpg,800,800,재킷,반팔
992642,20180228(중국)-샘플-bIMG_0994 (3141).jpg,800,800,재킷,반팔
992643,20180228(중국)-샘플-bIMG_0994 (3142).jpg,800,800,재킷,반팔
992644,20180228(중국)-샘플-bIMG_0994 (3143).jpg,800,800,재킷,반팔
992652,20180228(중국)-샘플-bIMG_0994 (3151).jpg,800,800,재킷,반팔
992653,20180228(중국)-샘플-bIMG_0994 (3152).jpg,800,800,재킷,반팔
992654,20180228(중국)-샘플-bIMG_0994 (3153).jpg,800,800,재킷,반팔
995263,20180305(샘플)-bl1-지끼(샘플IMG_0576 (1280).jpg,1200,800,가디건,긴팔
995266,20180305(샘플)-bl1-지끼(샘플IMG_0576 (1283).jpg,1200,800,가디건,긴팔
885183,"20191014(중국,샘플)-vt279k9a(3)-크림비(샘플,램스울조끼)1014얼굴컷-밝기보정해주세여-IMG_2095.jpg",800,800,베스트,민소매
885184,"20191014(중국,샘플)-vt279k9a(3)-크림비(샘플,램스울조끼)1014얼굴컷-밝기보정해주세여-IMG_2099.jpg",800,800,베스트,민소매
975871,6sk1938-1 (1414).jpg,1049,800,재킷,긴팔
975872,6sk1938-1 (1415).jpg,1049,800,재킷,긴팔
975884,6sk1938-1 (1427).jpg,1049,800,재킷,긴팔
976974,6sk1938-1 (2517).jpg,1049,800,재킷,반팔
976975,6sk1938-1 (2518).jpg,1049,800,재킷,반팔
976976,6sk1938-1 (2519).jpg,1049,800,재킷,반팔
976981,6sk1938-1 (2524).jpg,1049,800,재킷,반팔
976983,6sk1938-1 (2526).jpg,1049,800,재킷,반팔
977112,6sk1938-1 (2655).jpg,1049,800,재킷,반팔
977114,6sk1938-1 (2657).jpg,1049,800,재킷,반팔
977115,6sk1938-1 (2658).jpg,1049,800,재킷,반팔
977117,6sk1938-1 (2660).jpg,1049,800,재킷,반팔
977118,6sk1938-1 (2661).jpg,1049,800,재킷,반팔
12003,Ann_019_11.jpg,800,800,재킷,긴팔
54267,banhana_288_08.jpg,800,800,가디건,긴팔
54269,banhana_288_10.jpg,800,800,가디건,긴팔
54270,banhana_288_11.jpg,800,800,가디건,긴팔
54271,banhana_288_20.jpg,800,800,가디건,긴팔
54272,banhana_288_img.jpg,800,800,가디건,긴팔
54394,banhana_295_00_NY_멀티다이아CD.jpg,800,800,가디건,긴팔
54395,banhana_295_01.jpg,800,800,가디건,긴팔
54399,banhana_295_05.jpg,800,800,가디건,긴팔
54400,banhana_295_06.jpg,800,800,가디건,긴팔
54401,banhana_295_07.jpg,800,800,가디건,긴팔
54403,banhana_295_09.jpg,800,800,가디건,긴팔
54405,banhana_295_11.jpg,800,800,가디건,긴팔
54406,banhana_295_22.jpg,800,800,가디건,긴팔
1344409,bqwertf-(310).jpg,1049,800,가디건,긴팔
1344411,bqwertf-(312).jpg,1049,800,가디건,긴팔
1344415,bqwertf-(316).jpg,1049,800,가디건,긴팔
488866,cd1067c07-600_1.jpg,800,800,가디건,긴팔
488867,cd1067c07-600_3.jpg,800,800,가디건,긴팔
488869,cd1067c07-s_1.jpg,1049,800,가디건,긴팔
488870,cd1067c07-s_3.jpg,1049,800,가디건,긴팔
1171526,cd393-cd393-s_7.jpg,1049,800,가디건,긴팔
